	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3
A1BG	11	7	5	25	33	38
A1BG-AS1	1	2	4	12	9	20
A1CF	2	5	7	20	17	22
A2M	1	1	3	4	5	4
A2M-AS1	7	2	19	15	21	25
A2ML1	352	341	638	3	0	1
A2MP1	0	0	1	0	0	0
A4GALT	1344	1102	1440	690	650	908
AAAS	3006	2483	4121	3349	3068	4424
AACS	1891	1553	2458	1699	1589	2286
AACSP1	47	47	95	6	7	9
AADAC	143	127	309	86	81	110
AADAT	86	109	201	395	377	547
AAED1	479	442	866	651	637	770
AAGAB	2141	2060	3634	2911	2869	3547
AAK1	1736	1598	3024	1592	1523	1907
AAMDC	529	451	896	659	559	765
AAMP	5055	4303	7086	5307	4915	7153
AANAT	2	4	4	10	7	9
AAR2	3279	2913	4422	4582	4286	5892
AARS	3401	3049	5543	4737	4468	6321
AARS2	1448	1279	2099	1923	1756	2661
AASDH	808	813	1450	669	655	811
AASDHPPT	1768	1721	3397	2036	2128	2427
AASS	1015	942	1909	994	978	1186
AATF	2991	2529	4379	3677	3455	4599
AATK	36	25	27	29	22	31
ABAT	1504	1309	2085	1692	1629	2248
ABCA1	1773	1611	2544	4201	4338	5259
ABCA10	15	19	35	25	21	30
ABCA11P	156	124	290	182	189	259
ABCA12	414	386	702	18	18	40
ABCA13	2	3	6	4	5	11
ABCA17P	7	2	11	10	6	7
ABCA2	3219	2640	3491	3318	2926	4651
ABCA3	6	12	16	3	3	4
ABCA4	3	2	12	177	196	280
ABCA5	481	524	1056	660	706	718
ABCA6	11	5	4	11	15	18
ABCA7	1368	1100	1612	1196	1071	1687
ABCA9	8	16	26	21	19	28
ABCB10	558	556	1047	848	893	1076
ABCB4	10	6	15	5	5	6
ABCB6	1066	911	1398	556	551	771
ABCB7	1099	1022	1815	716	721	952
ABCB8	1587	1309	2024	1935	1732	2583
ABCB9	536	398	621	447	394	576
ABCC1	3843	3285	5124	3407	3094	4480
ABCC10	915	777	1185	1215	1098	1541
ABCC11	71	39	60	16	8	13
ABCC13	4	2	2	1	0	0
ABCC2	58	51	92	182	180	240
ABCC3	797	663	1184	1429	1357	1969
ABCC4	256	259	411	888	888	1041
ABCC5	1557	1455	2394	2145	1995	2707
ABCC6	20	13	19	10	7	10
ABCD1	561	436	551	663	558	862
ABCD2	5	11	7	9	3	5
ABCD3	2163	2141	4248	1709	1833	2080
ABCD4	981	800	1371	1239	1226	1687
ABCE1	4001	3942	7891	5018	5083	5749
ABCF1	6078	5211	8522	6247	5789	8074
ABCF2	3603	3189	5177	5266	5084	7018
ABCF3	2296	1883	3030	2459	2368	3334
ABCG1	2213	1903	2904	2328	2297	3283
ABCG2	13	15	37	12	10	12
ABCG4	10	11	27	53	36	89
ABCG5	6	6	7	6	2	9
ABHD10	934	992	1688	833	808	1025
ABHD11	742	633	1034	748	632	917
ABHD12	2756	2412	3770	2171	2029	2808
ABHD12B	23	19	35	25	25	28
ABHD13	834	852	1523	1233	1233	1411
ABHD14A	272	229	321	256	199	355
ABHD14B	2203	1833	2564	2392	2222	2993
ABHD15	815	687	1125	534	460	645
ABHD16A	1755	1455	2312	1446	1333	1903
ABHD16B	412	334	369	476	382	653
ABHD2	4642	4239	7731	5906	5696	7366
ABHD3	544	543	1037	505	547	620
ABHD4	1093	1050	1626	1099	1039	1449
ABHD5	1863	1675	3266	1297	1332	1561
ABHD6	490	419	625	369	373	498
ABHD8	447	348	423	375	296	547
ABI1	3818	3534	6260	3018	2909	3704
ABI2	1513	1338	2712	2110	2068	2602
ABI3BP	143	121	230	816	832	962
ABL1	6861	5754	8120	27365	24875	35934
ABL2	1566	1444	2975	4271	4117	4908
ABLIM1	12211	11071	19848	800	685	982
ABLIM2	25	25	40	52	57	95
ABLIM3	639	534	942	23340	22799	29906
ABP1	6	3	4	45	48	76
ABR	2639	2398	3544	6497	6294	8919
ABRACL	1022	987	1791	1497	1501	1846
ABT1	1463	1225	2052	1616	1496	2087
ABTB1	764	657	927	1496	1379	2004
ABTB2	796	710	936	913	845	1246
ACAA1	3288	2723	4233	2528	2301	3538
ACAA2	154	149	293	218	206	307
ACACA	4963	4254	7695	4783	4761	6059
ACACB	440	369	544	129	108	176
ACAD10	1382	1196	2100	782	821	1144
ACAD11	44	40	62	57	45	73
ACAD8	673	590	973	1266	1210	1591
ACAD9	1941	1788	2944	2447	2449	3289
ACADL	3	5	6	0	0	0
ACADM	2194	2222	4039	1105	1170	1342
ACADS	468	380	494	220	195	318
ACADSB	832	767	1580	330	330	435
ACADVL	9102	7731	14190	5925	5712	7842
ACAN	0	1	0	154	164	216
ACAP1	32	32	56	183	166	238
ACAP2	1661	1595	2942	1432	1493	1792
ACAP3	2851	2281	3162	3133	2688	4166
ACAT1	2273	1924	3878	1286	1278	1603
ACAT2	1617	1481	3006	4648	4574	6109
ACBD3	1968	1843	3369	3279	3156	3861
ACBD4	221	186	281	164	136	234
ACBD5	692	656	1330	870	895	1147
ACBD6	1309	1169	2027	1738	1628	2154
ACBD7	81	60	158	42	41	44
ACCS	348	267	527	343	316	487
ACD	1144	895	1331	1576	1459	2118
ACE	2	5	8	5	5	5
ACE2	17	17	33	0	1	0
ACER2	134	122	238	61	58	68
ACER3	986	894	1733	866	873	1057
ACHE	11	7	10	145	136	195
ACIN1	8703	7181	12475	8969	8437	11509
ACLY	7231	6540	11045	17592	16838	23585
ACN9	619	565	1017	415	412	506
ACO1	2717	2501	4192	5502	5361	7282
ACO2	7057	6111	9039	2830	2654	4105
ACOT11	1093	849	1208	505	483	803
ACOT13	1410	1290	2264	1194	1184	1493
ACOT2	5	1	10	0	1	1
ACOT4	69	80	117	52	50	55
ACOT7	5255	4523	6472	6341	5750	8481
ACOT8	1366	1020	1533	1236	1113	1759
ACOT9	1581	1414	2792	3634	3676	4757
ACOX1	1257	1111	1997	1082	1063	1414
ACOX2	18	14	24	13	26	24
ACOX3	667	667	959	1068	997	1420
ACOXL	10	6	4	1	1	3
ACP1	2479	2324	4358	3264	3244	4005
ACP2	1217	1035	1646	1972	1793	2547
ACP5	335	289	413	37	35	68
ACP6	667	609	916	403	415	531
ACPL2	236	213	345	170	190	269
ACPP	118	129	237	4	5	3
ACRBP	21	17	30	29	23	34
ACRC	39	42	88	104	97	152
ACRV1	7	8	17	23	16	20
ACSBG1	13	10	18	11	7	8
ACSBG2	3	5	12	11	10	25
ACSF2	1962	1677	2658	916	850	1196
ACSF3	1056	805	1232	921	757	1205
ACSL1	6027	5552	9730	2295	2258	2985
ACSL3	7145	6848	13211	9344	9241	11285
ACSL4	7537	7415	13433	8114	8145	9736
ACSL5	399	384	687	173	162	208
ACSL6	17	15	19	3	8	15
ACSM1	50	45	77	4	5	11
ACSM3	247	211	421	30	32	29
ACSM4	0	0	0	2	1	5
ACSM5	0	0	0	6	6	7
ACSS1	1397	1179	1851	311	310	445
ACSS2	2656	2303	3789	2966	2703	3908
ACTA1	5	2	2	4	6	10
ACTA2	70	61	71	133	103	144
ACTB	205331	172840	257108	351536	312646	427551
ACTBL2	2	3	0	81	86	95
ACTC1	3	0	0	7	5	10
ACTG1	144444	122214	171020	206352	191157	280391
ACTG1P4	13	17	21	20	25	35
ACTG2	0	4	3	1	1	3
ACTL10	94	75	85	107	74	138
ACTL6A	2445	2169	3960	3222	3294	3839
ACTL8	5	8	7	1	2	1
ACTN1	17518	15064	22847	58991	54282	84453
ACTN1-AS1	2	5	5	15	14	11
ACTN4	27073	22683	31712	23531	21513	33842
ACTR10	1493	1379	2747	2253	2263	2619
ACTR1A	6701	5908	9718	12027	11695	16061
ACTR1B	2165	1905	2880	3741	3283	4744
ACTR2	10082	9787	18919	15399	15676	18728
ACTR3	8859	8541	14982	13424	13282	16746
ACTR3B	168	124	223	223	210	248
ACTR3C	19	22	28	13	9	14
ACTR5	1043	955	1481	953	892	1209
ACTR6	731	695	1468	845	862	986
ACTR8	808	735	1257	1304	1310	1748
ACTRT3	40	37	70	75	81	107
ACVR1	1038	897	1675	1517	1392	1899
ACVR1B	1389	1182	1879	1986	1843	2731
ACVR1C	14	15	13	30	21	25
ACVR2A	306	261	580	304	308	380
ACVR2B	135	113	223	216	213	282
ACVR2B-AS1	11	14	26	11	13	6
ACVRL1	0	0	0	2	4	2
ACY1	70	80	59	19	20	23
ACYP1	288	241	490	305	299	395
ACYP2	316	278	447	347	362	431
ADA	403	369	558	984	850	1178
ADAD2	45	36	44	1	2	2
ADAL	287	241	589	321	318	367
ADAM10	3599	3318	6034	4691	4461	5439
ADAM11	16	17	36	21	12	18
ADAM12	43	60	77	1395	1307	1758
ADAM15	13201	11030	16203	8266	7629	11421
ADAM17	1665	1423	2856	1560	1466	1912
ADAM19	20	26	36	11459	10764	14557
ADAM1A	67	83	149	166	175	216
ADAM20P1	18	19	34	53	35	48
ADAM21	16	16	25	12	11	22
ADAM22	35	44	54	28	41	46
ADAM23	2	0	1	26	28	52
ADAM28	44	43	83	10	8	10
ADAM32	21	11	41	70	75	79
ADAM8	258	223	351	180	134	244
ADAM9	7561	7428	13713	14102	13762	16821
ADAMTS1	37	39	67	142	136	153
ADAMTS13	388	307	528	369	323	486
ADAMTS14	7	5	15	18	19	42
ADAMTS15	138	119	210	313	265	324
ADAMTS16	0	0	1	84	74	118
ADAMTS17	17	14	21	5	3	5
ADAMTS3	36	31	53	118	111	134
ADAMTS4	0	2	1	10	4	9
ADAMTS6	56	55	100	4988	5029	6171
ADAMTS7	195	144	202	4683	4086	6524
ADAMTS8	3	5	3	1	1	0
ADAMTS9	2	1	2	730	620	826
ADAMTSL3	2	5	6	3	0	15
ADAMTSL4	2500	2091	3023	706	623	894
ADAMTSL5	461	389	532	818	735	1084
ADAP1	803	716	942	53	52	60
ADAP2	47	39	78	12	17	22
ADAR	13122	11538	18317	11832	11486	14859
ADARB1	509	428	756	1853	1768	2459
ADAT1	669	627	1161	922	863	1194
ADAT2	448	450	910	381	325	434
ADAT3	201	157	152	222	123	246
ADC	119	95	157	347	296	473
ADCK1	473	423	608	307	279	391
ADCK2	950	800	1148	731	682	950
ADCK3	1485	1302	1883	520	475	658
ADCK4	1814	1545	2180	1154	1000	1435
ADCK5	347	266	374	446	481	667
ADCY1	63	38	65	81	71	118
ADCY10	7	2	11	22	12	13
ADCY10P1	255	236	467	430	455	554
ADCY3	1657	1311	2084	2641	2438	3567
ADCY4	13	10	7	33	37	61
ADCY5	22	22	34	93	64	96
ADCY6	2050	1671	2698	2958	2733	4259
ADCY7	448	358	692	2140	2105	2796
ADCY9	1344	1056	1632	1303	1108	1726
ADD1	7857	6820	11095	9777	9421	13096
ADD2	1	1	1	7	1	7
ADD3	2457	2355	4456	1121	1240	1432
ADH1A	10	10	18	5	11	10
ADH5	4931	4488	8141	6635	6374	8262
ADH6	34	45	69	35	45	53
ADH7	9	5	20	0	0	0
ADHFE1	145	121	220	60	74	89
ADI1	4113	3806	6482	2930	2729	3729
ADIPOR1	8975	7841	13319	8772	8318	10981
ADIPOR2	4558	4070	7255	6013	5794	7644
ADIRF	3526	2976	4249	78	88	125
ADK	4927	4757	9067	3374	3518	4122
ADM	686	618	1025	592	476	743
ADM2	15	20	56	41	29	37
ADM5	261	213	376	208	244	272
ADNP	7808	7146	12602	7631	7572	9889
ADNP2	1701	1583	2539	2026	1928	2393
ADO	1293	1306	1926	1709	1621	2031
ADORA1	10	13	11	63	43	76
ADORA2A	4	5	2	16	19	30
ADORA2A-AS1	2	0	4	8	4	6
ADORA2B	1106	1040	1679	107	98	121
ADORA3	0	0	1	11	21	13
ADPGK	1911	1704	3094	2491	2461	3318
ADPGK-AS1	3	6	8	6	4	3
ADPRH	16	11	25	20	22	19
ADPRHL1	87	65	124	45	34	43
ADPRHL2	1224	1013	1636	1413	1232	1806
ADPRM	254	257	467	346	318	389
ADRA1B	11	3	11	1494	1359	1939
ADRA2A	1	0	3	32	33	42
ADRB1	2	3	6	19	11	21
ADRB2	3748	3133	5522	5253	5140	7225
ADRBK1	4484	3739	5329	3494	3274	4780
ADRBK2	690	685	1142	545	520	676
ADRM1	8705	7136	10051	9989	8964	13512
ADSL	3063	2743	4653	3040	3014	3904
ADSS	2686	2642	4732	2920	2829	3514
ADSSL1	385	336	481	391	367	528
ADTRP	55	50	128	119	132	148
AEBP1	13	8	13	1147	1015	1524
AEBP2	1071	1027	2134	798	821	1039
AEN	2873	2419	3880	2398	2462	3281
AES	19789	15779	21966	15679	13443	19344
AFAP1	1284	1170	1905	2961	2835	3951
AFAP1-AS1	12	10	12	11	14	14
AFAP1L1	566	541	930	4957	4902	6522
AFAP1L2	392	314	568	1827	1799	2458
AFF1	4507	4107	6989	4047	3910	5008
AFF2	2	0	0	4	4	7
AFF3	0	0	0	9	7	12
AFF4	8430	7993	12994	10401	10143	12434
AFG3L1P	769	655	1264	1092	1080	1416
AFG3L2	6701	5898	10727	4819	4591	6044
AFMID	791	713	1068	502	441	626
AFTPH	2118	2026	3507	1313	1351	1551
AGA	625	604	1026	514	466	620
AGAP1	1769	1542	2439	1928	1913	2646
AGAP11	44	33	63	15	7	12
AGAP2	10	11	19	24	26	27
AGAP3	3223	2733	3718	3345	2927	4416
AGAP5	65	54	105	118	90	138
AGAP6	143	135	300	348	303	410
AGAP7	2	2	7	7	3	11
AGAP8	33	27	46	55	51	67
AGAP9	8	2	14	10	9	18
AGBL1	8	8	16	3	3	3
AGBL2	69	75	149	28	34	38
AGBL3	20	18	27	42	27	58
AGBL5	1725	1471	2295	1809	1694	2361
AGER	328	252	548	536	529	679
AGFG1	3746	3548	6091	4387	4468	5491
AGFG2	791	681	1057	386	340	512
AGGF1	2313	2113	3692	2904	2786	3333
AGK	1502	1442	2414	1525	1539	1963
AGL	1942	1826	3245	939	1010	1162
AGMAT	77	83	146	107	100	129
AGMO	0	1	1	24	30	47
AGO1	977	884	1299	803	784	1029
AGO2	1139	966	1207	800	779	1097
AGO3	280	276	397	325	275	439
AGO4	524	479	932	1236	1218	1457
AGPAT1	4777	3927	5798	6935	6221	9118
AGPAT2	2475	2003	2609	2739	2329	3658
AGPAT3	4341	3835	5496	3194	2854	3848
AGPAT4	556	516	883	1045	965	1397
AGPAT4-IT1	30	28	34	43	44	67
AGPAT5	1487	1432	2592	1499	1517	1802
AGPAT6	2453	2188	3676	5418	5102	7271
AGPAT9	16	21	26	67	62	88
AGPHD1	89	70	127	34	38	58
AGPS	2466	2451	4448	3353	3318	3943
AGR2	992	979	1927	3	2	1
AGRN	14684	11799	15380	23989	21177	34187
AGTPBP1	1352	1298	2542	1233	1238	1467
AGTRAP	2201	1867	2759	5086	4684	6820
AGXT2L2	570	424	829	683	632	927
AHCTF1	1375	1265	2355	1710	1680	1885
AHCTF1P1	1016	961	1458	1055	991	1371
AHCY	18916	16113	25411	10824	10569	15306
AHCYL1	5899	5426	9513	5852	5725	7320
AHCYL2	1753	1555	2828	614	610	771
AHDC1	2694	2116	2755	1941	1777	2732
AHI1	516	450	912	595	663	716
AHNAK	91453	83079	135422	84511	82614	115425
AHNAK2	41607	35317	50696	24336	23822	35327
AHR	4130	4105	6873	1169	1122	1425
AHRR	46	33	54	119	112	151
AHSA1	4026	3678	6311	4238	4018	5720
AHSA2	1518	1338	2689	2621	2628	3470
AHSG	8	16	25	0	0	0
AHSP	0	0	1	1	2	7
AIDA	434	447	747	882	949	1021
AIF1L	420	357	582	14	13	17
AIFM1	3174	2774	5022	1891	1882	2476
AIFM2	1130	946	1498	413	384	549
AIFM3	170	124	228	38	31	33
AIG1	2158	2007	3582	960	1023	1287
AIM1	14298	12933	22185	939	891	1149
AIM1L	1084	821	1289	60	72	100
AIM2	20	15	28	2	2	3
AIMP1	1869	1820	3641	2871	2981	3075
AIMP2	1169	1046	1430	1350	1160	1655
AIP	1966	1688	2418	2638	2424	3696
AIPL1	1	2	1	0	0	0
AJUBA	4782	4156	6646	3577	3400	4951
AK1	2846	2310	3558	3179	3178	4438
AK2	6434	5710	10065	5871	5675	7413
AK3	5680	5408	9959	2643	2642	3008
AK4	1473	1417	2599	694	672	821
AK7	35	43	57	35	37	40
AK8	55	45	85	41	44	55
AKAP1	4223	3634	5826	1766	1708	2398
AKAP10	1482	1346	2439	1644	1578	2100
AKAP11	2871	2873	5085	3003	3029	3741
AKAP12	141	114	262	10144	10082	13238
AKAP13	4505	4016	6470	3750	3512	4733
AKAP2	3	3	2	35	15	48
AKAP3	13	26	34	20	15	22
AKAP5	19	19	17	33	43	45
AKAP6	161	177	291	100	86	114
AKAP7	307	281	526	192	206	241
AKAP8	1764	1566	2555	1869	1767	2347
AKAP8L	2456	2091	3353	3012	2708	3950
AKAP9	3286	3210	5662	2778	2779	3300
AKD1	263	302	560	153	174	183
AKIP1	665	585	949	1078	987	1353
AKIRIN1	2641	2380	4383	3571	3218	4127
AKIRIN2	2943	2610	3786	1798	1514	2197
AKNA	530	393	629	226	168	245
AKNAD1	186	164	340	76	67	107
AKR1A1	3725	3160	5236	2824	2553	3751
AKR1B1	2523	2202	3320	5407	5163	7350
AKR1B10	5974	5316	10597	17	17	9
AKR1B15	37	18	39	0	2	0
AKR1C1	692	620	1085	382	351	415
AKR1C2	2142	1909	3368	732	800	917
AKR1C3	601	587	971	344	304	443
AKR1C4	0	1	1	5	6	8
AKR1CL1	5	3	5	6	10	8
AKR1E2	5	7	7	17	18	28
AKR7A2	1598	1459	2194	1791	1612	2208
AKR7A2P1	98	99	103	49	43	104
AKR7A3	5	7	16	9	13	14
AKR7L	14	7	22	24	14	9
AKT1	7600	6469	9726	14652	13012	19449
AKT1S1	5195	4373	5652	4852	4206	6045
AKT2	5185	4322	6611	5554	5116	7064
AKT3	52	48	78	518	502	658
AKTIP	299	300	605	259	264	282
ALAD	2302	2003	3288	1946	1913	2564
ALAS1	814	768	1238	2226	2171	3024
ALAS2	2	6	8	1	4	6
ALB	2	0	9	3	6	11
ALCAM	4037	3955	7569	16794	16815	19458
ALDH16A1	2555	2122	2863	2101	1918	2929
ALDH18A1	2350	2277	3792	3539	3448	4611
ALDH1A1	204	181	339	786	772	974
ALDH1A3	28971	26213	44916	1397	1380	1808
ALDH1B1	2162	1967	3204	2065	2010	2808
ALDH1L1	1354	1138	1869	51	39	61
ALDH1L1-AS1	8	11	20	2	1	0
ALDH1L1-AS2	8	2	6	2	0	2
ALDH1L2	23	26	46	31	27	48
ALDH2	3552	3054	4976	2012	1909	2651
ALDH3A1	27792	23617	32927	41	50	25
ALDH3A2	13085	12360	22790	1718	1628	2118
ALDH3B1	1614	1387	1886	1055	943	1369
ALDH3B2	113	96	162	0	0	0
ALDH4A1	2444	1970	2792	719	695	1034
ALDH5A1	434	423	745	172	163	187
ALDH6A1	658	639	1116	251	223	328
ALDH7A1	8258	7327	14130	3622	3638	4853
ALDH8A1	8	11	19	26	36	51
ALDH9A1	3502	3188	5440	3957	3827	4808
ALDOA	60688	50990	70670	48677	44431	70118
ALDOB	2	2	8	11	13	15
ALDOC	1741	1659	2398	2218	2030	2883
ALG1	940	747	1179	1372	1278	1779
ALG10	209	193	361	203	176	203
ALG10B	645	656	1235	560	645	720
ALG11	212	179	360	252	220	325
ALG12	1305	1117	1656	1481	1317	2007
ALG13	799	753	1478	1022	1041	1181
ALG14	438	422	709	327	344	417
ALG1L	12	7	15	12	8	14
ALG1L9P	13	9	9	8	7	24
ALG2	2423	2400	3865	4342	4180	5300
ALG3	3131	2551	3892	3626	3197	4524
ALG5	1417	1352	2409	2273	2274	2787
ALG6	646	693	1281	503	563	615
ALG8	1418	1183	2316	1757	1663	1886
ALG9	1226	1114	1965	1613	1548	2026
ALKBH1	427	459	713	584	595	785
ALKBH2	490	446	702	406	399	557
ALKBH3	928	883	1478	1034	1012	1339
ALKBH4	326	281	473	525	496	714
ALKBH5	2491	2031	2989	2702	2479	3261
ALKBH6	667	562	791	822	788	1106
ALKBH7	1473	1173	1332	1220	1054	1620
ALKBH8	506	434	842	683	696	771
ALMS1	991	945	1547	1708	1678	2190
ALMS1P	5	7	7	8	9	10
ALOX12	77	75	92	145	137	209
ALOX12B	16	9	25	5	3	7
ALOX12P2	121	108	175	56	54	98
ALOX15B	39	31	48	3	5	4
ALOX15P1	7	3	13	10	12	12
ALOX5	3	1	5	9	3	13
ALOX5AP	12	8	15	10877	10754	13079
ALOXE3	140	132	216	284	252	342
ALPK1	1059	986	1885	524	554	606
ALPK2	6	8	8	237	230	243
ALPK3	47	37	65	137	104	187
ALPL	94	72	109	19	10	16
ALPP	1	3	8	2	5	6
ALS2	1424	1340	2255	1998	2056	2535
ALS2CL	8274	6961	11805	9351	8997	13360
ALS2CR11	10	10	15	9	11	18
ALS2CR12	50	43	85	59	49	66
ALS2CR8	506	471	934	398	459	585
ALX3	65	76	106	111	84	137
ALX4	0	1	1	4	7	15
ALYREF	2755	2403	3683	3928	3570	5039
AMACR	23	19	29	22	11	37
AMBP	4	0	6	1	2	1
AMBRA1	1445	1205	1922	1826	1825	2528
AMD1	3816	3865	6737	3590	3554	4248
AMDHD1	47	56	91	26	24	33
AMDHD2	474	404	491	822	636	969
AMER1	524	439	702	200	186	288
AMFR	2637	2444	3781	3687	3466	4890
AMH	31	24	46	87	70	101
AMIGO1	89	73	87	77	61	106
AMIGO2	741	670	1345	21901	21364	26339
AMIGO3	141	109	166	218	209	310
AMMECR1	3381	3175	5641	1100	1005	1278
AMMECR1L	2105	1833	3125	2596	2494	3495
AMN	39	46	32	7	5	14
AMN1	209	185	403	127	159	175
AMOT	9	5	7	42	29	49
AMOTL1	7902	7000	10824	11398	10732	14950
AMOTL2	2861	2442	4070	8656	7934	10717
AMPD2	2012	1601	2446	3990	3583	5298
AMPD3	1132	1060	1619	859	823	1104
AMPH	285	272	424	258	287	342
AMT	226	183	345	194	182	269
AMTN	5	1	12	615	663	865
AMY2B	88	97	232	128	153	197
AMZ1	3	4	6	17	15	23
AMZ2	3392	2911	5165	3576	3407	4170
AMZ2P1	77	81	128	140	157	167
ANAPC1	1144	1005	1781	864	897	1066
ANAPC10	280	286	524	470	528	666
ANAPC11	2099	1751	2545	2630	2293	3551
ANAPC13	1512	1478	2666	2311	2279	2435
ANAPC15	306	278	477	322	317	437
ANAPC16	2837	2648	5502	2540	2648	3161
ANAPC2	2835	2372	3294	3442	3107	4726
ANAPC4	828	825	1677	912	931	1035
ANAPC5	5528	4827	7982	5748	5547	7351
ANAPC7	2095	1983	3309	1909	1812	2185
ANG	45	37	91	62	76	110
ANGEL1	897	717	1149	725	717	895
ANGEL2	948	975	1898	998	1042	1205
ANGPT1	242	237	349	12	23	24
ANGPT2	6	4	3	5	4	2
ANGPT4	19	13	23	7	3	14
ANGPTL2	0	2	1	163	162	240
ANGPTL4	300	272	365	25836	23133	36079
ANGPTL6	11	8	16	7	9	12
ANK1	14	7	14	5	4	11
ANK2	21	14	20	11	6	19
ANK3	2223	2095	3509	48	36	59
ANKAR	82	74	145	116	115	145
ANKDD1A	114	95	134	199	214	270
ANKDD1B	44	22	65	60	49	70
ANKEF1	1075	996	1731	640	669	866
ANKFN1	4	1	2	1	0	1
ANKFY1	4270	3791	6302	4070	3915	5332
ANKH	3413	3045	4930	1967	1900	2587
ANKHD1	89	83	222	165	151	140
ANKHD1-EIF4EBP3	2	2	7	4	7	5
ANKIB1	2343	2134	3865	3385	3379	3976
ANKK1	75	48	81	68	86	147
ANKLE1	24	15	29	60	62	85
ANKLE2	3382	2936	5158	10093	9700	12948
ANKMY1	503	466	638	519	452	723
ANKMY2	451	439	894	375	353	458
ANKRA2	820	757	1381	797	775	967
ANKRD1	0	3	7	400	402	403
ANKRD10	1868	1724	2729	2065	1974	2571
ANKRD11	8051	6782	10582	9625	8678	12551
ANKRD12	2776	2639	4420	1944	1999	2409
ANKRD13A	3491	3260	5568	2002	1928	2584
ANKRD13B	556	451	655	586	510	832
ANKRD13C	1094	1018	1765	1406	1273	1653
ANKRD13D	1002	848	1313	1622	1515	2170
ANKRD16	270	277	373	152	138	184
ANKRD17	7109	6458	10925	6056	5984	7411
ANKRD18A	282	275	425	324	337	426
ANKRD18B	177	157	247	72	61	76
ANKRD19P	352	316	442	325	306	421
ANKRD2	95	78	141	28	23	28
ANKRD20A9P	44	35	64	33	31	52
ANKRD22	266	217	461	1	1	0
ANKRD23	101	54	116	95	90	135
ANKRD24	47	54	62	15	21	22
ANKRD26	626	580	1026	641	684	766
ANKRD27	1739	1544	2600	1900	1787	2578
ANKRD28	2058	1925	3564	4076	4191	4871
ANKRD29	200	168	266	18	25	21
ANKRD30BL	7	7	8	5	8	16
ANKRD30BP3	0	0	0	5	9	12
ANKRD31	22	16	31	6	24	21
ANKRD32	548	547	1009	821	876	984
ANKRD33B	500	394	726	102	101	144
ANKRD34A	100	77	121	115	77	134
ANKRD35	16	12	36	13	17	20
ANKRD36	100	120	160	149	159	191
ANKRD36B	103	115	168	156	197	213
ANKRD36BP1	161	127	238	126	103	116
ANKRD37	61	61	71	54	56	81
ANKRD39	216	186	274	260	251	389
ANKRD40	1354	1201	2345	1943	2001	2513
ANKRD42	225	213	398	439	399	517
ANKRD44	157	126	201	323	330	424
ANKRD45	13	10	18	12	7	14
ANKRD46	264	262	439	260	239	295
ANKRD49	728	766	1370	676	665	916
ANKRD50	2215	2147	3454	3102	2962	3676
ANKRD52	3845	3372	5039	7404	6772	9469
ANKRD53	3	1	5	7	3	5
ANKRD54	780	684	1010	1070	998	1380
ANKRD6	298	244	477	317	317	432
ANKRD61	20	12	41	52	42	67
ANKRD65	128	107	141	34	41	57
ANKRD7	1	1	2	4	4	4
ANKRD9	1608	1274	1397	822	591	921
ANKS1A	1927	1672	2512	1633	1505	2211
ANKS3	395	364	532	686	642	990
ANKS6	2100	1758	2913	2976	2743	3716
ANKZF1	1630	1394	2526	2692	2413	3384
ANLN	10556	9957	17897	8439	8634	10060
ANO1	34	22	46	201	220	271
ANO10	2032	1820	3055	2458	2393	3067
ANO4	2	1	1	9	10	13
ANO6	3370	3131	5622	4899	4868	6012
ANO7	43	39	58	116	109	160
ANO8	1048	810	1199	1098	992	1531
ANO9	895	724	1277	366	343	509
ANP32A	2647	2556	4769	2894	2855	3398
ANP32A-IT1	16	13	21	7	11	12
ANP32AP1	132	109	242	125	103	151
ANP32B	15279	12815	23301	16461	14816	17999
ANP32C	66	44	97	59	61	48
ANP32D	5	4	13	5	6	7
ANP32E	3182	3146	6191	2750	2677	2972
ANPEP	21	16	32	3270	3079	4381
ANTXR1	4640	4126	7080	8675	8506	11113
ANTXR2	855	830	1447	4279	4213	5371
ANXA1	23485	21906	44321	30610	30848	38147
ANXA10	7	4	2	3	2	4
ANXA11	9724	8412	12816	4263	3985	5673
ANXA2	16350	15015	26007	28022	27024	36429
ANXA2P1	383	329	554	636	580	818
ANXA2P2	34179	31094	56003	58007	57941	77588
ANXA2P3	132	120	189	229	215	291
ANXA2R	24	28	43	60	59	70
ANXA3	1405	1420	2719	2194	2319	3061
ANXA4	3289	3068	5084	1946	2046	2615
ANXA5	10347	9729	17770	31244	31827	41569
ANXA6	91	100	156	4835	4559	6130
ANXA7	4056	3542	6532	3833	3916	5077
ANXA8L2	1639	1450	2492	1080	1033	1514
ANXA9	114	114	175	49	65	94
AOC2	63	68	96	114	121	202
AOC3	14	6	19	38	25	41
AOX1	320	279	576	5425	5201	7197
AOX2P	6	2	9	5	1	5
AP1AR	1092	1066	1874	878	902	1088
AP1B1	7511	6390	9207	6857	6277	9250
AP1G1	4795	4544	7814	5137	5109	6273
AP1G2	4227	3464	5844	3614	3618	5098
AP1M1	1815	1409	2062	4526	4135	6087
AP1M2	3671	3346	5168	251	239	434
AP1S1	4874	4388	6732	4751	4541	6190
AP1S2	109	127	209	546	572	643
AP1S3	987	877	1836	89	104	89
AP2A1	8477	7029	9325	9590	8643	13257
